mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__subsample,param_classifier__reg_lambda,param_classifier__reg_alpha,param_classifier__n_estimators,param_classifier__min_child_weight,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__gamma,param_classifier__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.4042985439300537,0.02735272415323852,0.018469905853271483,0.0039007968232818925,0.9,1,0.01,500,3,6,0.05,0.5,1.0,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 1, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 500, 'classifier__min_child_weight': 3, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0.5, 'classifier__colsample_bytree': 1.0}",0.5640074211502782,0.5280898876404494,0.5989110707803993,0.5818181818181818,0.5807692307692308,0.570719158431708,0.024005325832109067,20
0.1348062515258789,0.01154197714325661,0.01835775375366211,0.006666239356555727,0.9,5,0.0,200,3,2,0.2,0.1,1.0,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 5, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 200, 'classifier__min_child_weight': 3, 'classifier__max_depth': 2, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 1.0}",0.5904059040590406,0.5325884543761639,0.5919117647058824,0.6086956521739131,0.58203125,0.581126605063,0.02576527846363852,10
0.25223374366760254,0.03515058230784204,0.022906064987182617,0.01057331565996373,0.9,5,0.0,500,3,2,0.05,0.5,0.7,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 5, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 500, 'classifier__min_child_weight': 3, 'classifier__max_depth': 2, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0.5, 'classifier__colsample_bytree': 0.7}",0.5762081784386617,0.5488721804511278,0.6117216117216118,0.6243194192377496,0.5984555984555985,0.5919153976609499,0.026775048980981243,2
0.1361149311065674,0.024433260613506282,0.012915658950805663,0.003459420422211712,1.0,2,0.01,200,1,3,0.1,1.0,0.9,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 2, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 200, 'classifier__min_child_weight': 1, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.1, 'classifier__gamma': 1, 'classifier__colsample_bytree': 0.9}",0.5523809523809524,0.5568181818181818,0.6059479553903345,0.6139705882352942,0.5988483685220729,0.5855932092693671,0.025792815999335892,7
0.2639456748962402,0.03031425210479624,0.018566226959228514,0.006234944022070476,0.7,2,1.0,200,3,6,0.01,0.0,1.0,"{'classifier__subsample': 0.7, 'classifier__reg_lambda': 2, 'classifier__reg_alpha': 1, 'classifier__n_estimators': 200, 'classifier__min_child_weight': 3, 'classifier__max_depth': 6, 'classifier__learning_rate': 0.01, 'classifier__gamma': 0, 'classifier__colsample_bytree': 1.0}",0.536779324055666,0.5288270377733598,0.5748031496062992,0.5483870967741935,0.5560165975103735,0.5489626411439783,0.01594802287247608,24
0.14281253814697265,0.015301540146971649,0.015054750442504882,0.00473220543715931,1.0,1,0.1,200,1,3,0.2,0.1,0.8,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 1, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 200, 'classifier__min_child_weight': 1, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 0.8}",0.5688073394495413,0.5547445255474452,0.5988909426987061,0.6014492753623188,0.5938697318007663,0.5835523629717556,0.018489601490813717,8
0.1420063018798828,0.008366013634825005,0.016979217529296875,0.003962156219695384,1.0,2,0.1,200,10,3,0.05,0.3,0.8,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 2, 'classifier__reg_alpha': 0.1, 'classifier__n_estimators': 200, 'classifier__min_child_weight': 10, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.05, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 0.8}",0.5644859813084112,0.5580524344569289,0.6055045871559633,0.5888888888888889,0.5977011494252874,0.582926608247096,0.018560076684766228,9
0.19431619644165038,0.012575905463038854,0.01385035514831543,0.0038499677349248984,1.0,2,0.01,300,5,3,0.2,0.0,0.9,"{'classifier__subsample': 1.0, 'classifier__reg_lambda': 2, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 5, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0, 'classifier__colsample_bytree': 0.9}",0.5650557620817844,0.5448028673835126,0.5858951175406871,0.5913978494623656,0.5834932821497121,0.5741289757236123,0.017127113968628413,16
0.1713266372680664,0.029917528980134788,0.012562179565429687,0.002893687921466859,0.9,1,0.0,300,1,2,0.1,0.1,0.7,"{'classifier__subsample': 0.9, 'classifier__reg_lambda': 1, 'classifier__reg_alpha': 0, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 1, 'classifier__max_depth': 2, 'classifier__learning_rate': 0.1, 'classifier__gamma': 0.1, 'classifier__colsample_bytree': 0.7}",0.575139146567718,0.5444234404536862,0.6094890510948905,0.6083788706739527,0.6115384615384616,0.5897937940657417,0.026379410401488352,3
0.22369470596313476,0.01783760192134716,0.016045141220092773,0.004064256468466203,0.8,2,0.01,300,5,3,0.2,0.3,0.9,"{'classifier__subsample': 0.8, 'classifier__reg_lambda': 2, 'classifier__reg_alpha': 0.01, 'classifier__n_estimators': 300, 'classifier__min_child_weight': 5, 'classifier__max_depth': 3, 'classifier__learning_rate': 0.2, 'classifier__gamma': 0.3, 'classifier__colsample_bytree': 0.9}",0.5451127819548872,0.5477941176470589,0.6043956043956044,0.5949820788530465,0.5659655831739961,0.5716500332049186,0.024175608244243516,19
