mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__n_estimators,param_classifier__min_samples_split,param_classifier__min_samples_leaf,param_classifier__max_features,param_classifier__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.402374696731568,0.10594081241299586,0.11152582168579102,0.006158658682373686,300,20,4,,,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 4, 'classifier__max_features': None, 'classifier__max_depth': None}",0.5468164794007491,0.5340909090909091,0.62708719851577,0.5871212121212122,0.5928853754940712,0.5776002349245424,0.03350804420772778,4
4.465720844268799,0.30480259324041115,0.11871452331542968,0.02743824502113782,300,2,8,,15,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 8, 'classifier__max_features': None, 'classifier__max_depth': 15}",0.5468164794007491,0.5320754716981132,0.6210720887245841,0.5966228893058161,0.5972495088408645,0.5787672875940254,0.0336187180875911,3
0.42171478271484375,0.014890432190202214,0.02986626625061035,0.0020687460302753593,100,10,1,sqrt,15,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 15}",0.5606060606060606,0.5561904761904762,0.600375234521576,0.558766859344894,0.5877712031558185,0.5727419667637651,0.01792211549643827,9
0.2926905155181885,0.01310272935859699,0.02248721122741699,0.004182651437082974,100,2,8,sqrt,5,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 2, 'classifier__min_samples_leaf': 8, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 5}",0.5020576131687243,0.5375494071146245,0.5349794238683128,0.534446764091858,0.5148936170212766,0.5247853650529593,0.013961229323417925,18
10.291553449630737,0.08954029457929737,0.2213822364807129,0.025108890925072486,500,10,1,,15,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_features': None, 'classifier__max_depth': 15}",0.5612052730696798,0.5464684014869888,0.6247689463955638,0.5622641509433962,0.5907335907335908,0.5770880725258439,0.02781813122520301,5
1.1441759586334228,0.2449866240994004,0.0613245964050293,0.015706063246305687,300,10,2,sqrt,5,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 2, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 5}",0.5092402464065708,0.5346534653465347,0.5383022774327122,0.5408805031446541,0.5202558635394456,0.5286664711739835,0.012049829608377569,16
0.9566045761108398,0.09332815362235125,0.06313843727111816,0.011689103959856185,200,5,8,sqrt,15,"{'classifier__n_estimators': 200, 'classifier__min_samples_split': 5, 'classifier__min_samples_leaf': 8, 'classifier__max_features': 'sqrt', 'classifier__max_depth': 15}",0.558766859344894,0.5485714285714286,0.5927342256214149,0.573076923076923,0.598019801980198,0.5742338477189718,0.01901137324417033,7
5.400668287277222,0.6297738235197886,0.07420244216918945,0.02494881365252096,300,10,4,,10,"{'classifier__n_estimators': 300, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 4, 'classifier__max_features': None, 'classifier__max_depth': 10}",0.5644859813084112,0.5447761194029851,0.6227106227106227,0.5886792452830188,0.5873015873015873,0.581590711201325,0.026159489665436107,1
4.9301438331604,0.23970810448008587,0.06679711341857911,0.008289474953505883,500,20,2,,5,"{'classifier__n_estimators': 500, 'classifier__min_samples_split': 20, 'classifier__min_samples_leaf': 2, 'classifier__max_features': None, 'classifier__max_depth': 5}",0.5436893203883495,0.5524861878453039,0.557504873294347,0.5758754863813229,0.5725490196078431,0.5604209775034332,0.012143674488694503,15
0.9353369235992431,0.020999320556746994,0.026911211013793946,0.009877593054109797,100,10,1,,5,"{'classifier__n_estimators': 100, 'classifier__min_samples_split': 10, 'classifier__min_samples_leaf': 1, 'classifier__max_features': None, 'classifier__max_depth': 5}",0.55,0.5494505494505495,0.5653846153846154,0.5703125,0.5843137254901961,0.5638922780650722,0.013130428405188752,14
